idx,status,time_to_process,arrival_time,time_to_arrive,qty_tshirt,qty_hoodie,qty_spants,qty_sneaks,allocated_tshirt,allocated_hoodie,allocated_spants,allocated_sneaks,time_to_complete
1,CustomerOrderStatus.SHIPPED,320.5325785749337,120.4674214250663,120.4674214250663,0,1,0,0,0,1,0,0,441.0
0,CustomerOrderStatus.SHIPPED,460.15479583102945,111.84520416897057,111.84520416897057,1,0,1,0,1,0,1,0,572.0
3,CustomerOrderStatus.SHIPPED,400.1601558421427,460.8398441578573,460.8398441578573,1,1,0,0,1,1,0,0,861.0
4,CustomerOrderStatus.SHIPPED,400.14452148141,470.85547851859,470.85547851859,1,1,0,0,1,1,0,0,871.0
5,CustomerOrderStatus.SHIPPED,360.96689244604056,546.0331075539594,546.0331075539594,3,0,0,0,3,0,0,0,907.0
2,CustomerOrderStatus.SHIPPED,540.5636716990839,387.4363283009161,387.4363283009161,2,0,0,1,2,0,0,1,928.0
6,CustomerOrderStatus.SHIPPED,480.0747007753355,741.9252992246645,741.9252992246645,1,1,1,0,1,1,1,0,1222.0
7,CustomerOrderStatus.SHIPPED,460.0796172535761,872.9203827464239,872.9203827464239,1,0,1,0,1,0,1,0,1333.0
9,CustomerOrderStatus.SHIPPED,320.66901626192794,1212.330983738072,1212.330983738072,1,0,0,0,1,0,0,0,1533.0
8,CustomerOrderStatus.SHIPPED,400.61960083748636,1152.3803991625136,1152.3803991625136,0,1,1,0,0,1,1,0,1553.0
10,CustomerOrderStatus.SHIPPED,340.40648547735645,1351.5935145226435,1351.5935145226435,2,0,0,0,2,0,0,0,1692.0
11,CustomerOrderStatus.SHIPPED,327.00092550832437,1404.9990744916756,1404.9990744916756,0,0,0,1,0,0,0,1,1732.0
14,CustomerOrderStatus.SHIPPED,340.1826797150309,1609.8173202849691,1609.8173202849691,2,0,0,0,2,0,0,0,1950.0
12,CustomerOrderStatus.SHIPPED,480.4283943939124,1490.5716056060876,1490.5716056060876,1,0,2,0,1,0,2,0,1971.0
15,CustomerOrderStatus.SHIPPED,320.53627919281735,1701.4637208071827,1701.4637208071827,1,0,0,0,1,0,0,0,2022.0
13,CustomerOrderStatus.SHIPPED,480.02562567866516,1606.9743743213348,1606.9743743213348,1,1,1,0,1,1,1,0,2087.0
17,CustomerOrderStatus.SHIPPED,320.18091456583056,1909.8190854341694,1909.8190854341694,1,0,0,0,1,0,0,0,2230.0
16,CustomerOrderStatus.SHIPPED,500.0482808332158,1875.9517191667842,1875.9517191667842,2,1,1,0,2,1,1,0,2376.0
19,CustomerOrderStatus.SHIPPED,420.7556387612574,1967.2443612387426,1967.2443612387426,2,1,0,0,2,1,0,0,2388.0
18,CustomerOrderStatus.SHIPPED,499.6064069761844,1946.3935930238156,1946.3935930238156,0,2,2,0,0,2,2,0,2446.0
20,CustomerOrderStatus.SHIPPED,420.555658984455,2048.444341015545,2048.444341015545,2,1,0,0,2,1,0,0,2469.0
21,CustomerOrderStatus.SHIPPED,400.34170866417253,2106.6582913358275,2106.6582913358275,0,1,1,0,0,1,1,0,2507.0
22,CustomerOrderStatus.SHIPPED,366.7901013033379,2190.209898696662,2190.209898696662,2,0,0,0,2,0,0,0,2557.0
25,CustomerOrderStatus.SHIPPED,330.8682562810818,2317.131743718918,2317.131743718918,0,0,1,0,0,0,1,0,2648.0
23,CustomerOrderStatus.SHIPPED,568.1413116101157,2217.8586883898843,2217.8586883898843,1,1,1,0,1,1,1,0,2786.0
26,CustomerOrderStatus.SHIPPED,479.8880989207546,2329.1119010792454,2329.1119010792454,0,1,1,0,0,1,1,0,2809.0
24,CustomerOrderStatus.SHIPPED,617.45257203559,2239.54742796441,2239.54742796441,1,0,0,2,1,0,0,2,2857.0
28,CustomerOrderStatus.SHIPPED,373.3974671734645,2523.6025328265355,2523.6025328265355,0,0,1,0,0,0,1,0,2897.0
29,CustomerOrderStatus.SHIPPED,320.4693534886205,2624.5306465113795,2624.5306465113795,1,0,0,0,1,0,0,0,2945.0
