idx,weekday,shift,current_level_parking_tshirt,current_level_parking_hoodie,current_level_parking_spants,current_level_parking_sneaks,current_level_storage_tshirt,current_level_storage_hoodie,current_level_storage_spants,current_level_storage_sneaks,current_packing_stations_queue,total_orders_shipped,total_orders_cancelled,total_orders_discarded,total_gross_proft,total_delivery_expense,total_delivery_expense_returns,total_labor_expense,total_labor_expense_overtime,total_inventory_holding_cost,total_lost_sales_penalty,fixed_cost_facilities,fixed_cost_packing_stations
28800,Thursday,morning,0,0,0,0,9842,4932,4932,3282,0,143,0,0,2932,0,0,0,0,1983.2436203703085,0,5000000,100000
57600,Thursday,afternoon,0,0,0,0,9229,4633,4604,3117,0,694,0,0,14874,10000,0,1260.0,1.4937500000000001,3900.6218206026115,0,5000000,100000
86400,Thursday,evening,0,0,0,0,8445,4249,4203,2928,0,1378,0,0,29630,10000,0,2700.0,8.075,5685.6948645859065,0,5000000,100000
115200,Friday,morning,0,0,0,0,7655,3841,3824,2742,1,2048,0,0,44314,10000,0,4320.0,12.45,7324.63486111461,0,5000000,100000
144000,Friday,afternoon,0,0,0,0,6214,3139,3076,2372,270,3050,0,0,66244,20000,0,5940.0,21.125,8791.862332178976,0,5000000,100000
172800,Friday,evening,0,0,0,0,4451,2276,2188,1960,792,4098,0,0,88276,20000,0,8820.0,34.49375,10047.19572106786,0,5000000,100000
201600,Saturday,morning,0,0,0,0,3683,1916,1802,1770,952,4634,0,0,98862,20000,0,12060.0,52.90625,11142.871277783188,0,5000000,100000
230400,Saturday,afternoon,4577,2292,2299,1158,2055,1093,976,1361,1895,5155,0,0,109932,30000,0,13500.0,57.225,12873.043342598665,0,5000000,100000
259200,Saturday,evening,0,0,0,0,4716,2397,2415,2059,3039,5674,0,0,121052,30000,0,16380.0,71.725,14601.359708338257,0,5000000,100000
288000,Sunday,morning,0,0,0,0,3798,1963,1962,1827,2781,6723,0,0,143140,30000,0,22860.0,85.4125,16170.267793983912,0,5000000,100000
316800,Sunday,afternoon,3675,1828,1852,918,2387,1256,1210,1494,3012,7763,0,0,165424,40000,0,24660.0,94.35624999999999,18116.111070607538,0,5000000,100000
345600,Sunday,evening,0,0,0,0,4524,2317,2308,2036,3344,8804,0,0,187534,40000,0,27360.0,108.62499999999999,19931.76740973334,0,5000000,100000
374400,Monday,morning,0,0,0,0,3945,2062,2042,1910,3324,9325,0,0,198600,40000,0,32760.0,122.15624999999999,21586.595221074334,0,5000000,100000
403200,Monday,afternoon,1830,916,916,459,3159,1668,1661,1691,3490,9841,0,0,209882,50000,0,33840.0,127.43124999999999,23428.185410885202,0,5000000,100000
432000,Monday,evening,0,0,0,0,4171,2188,2175,1938,3650,10365,0,0,220980,50000,0,35280.0,132.99374999999998,25202.08022570187,0,5000000,100000
460800,Tuesday,morning,0,0,0,0,3861,2007,2004,1861,2908,11404,0,0,242980,50000,0,37980.0,141.74374999999998,26818.294211815046,0,5000000,100000
489600,Tuesday,afternoon,1374,685,689,345,3300,1713,1742,1724,2352,12448,0,0,264960,60000,0,38880.0,144.37499999999997,28441.591938669957,0,5000000,100000
518400,Tuesday,evening,6,13,5,9,4122,2107,2138,1924,1801,13490,0,0,287486,60000,0,40140.0,149.83124999999995,29884.638047469034,0,5000000,100000
