shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime,utilization
0,10/22/2020,Thursday,morning,0morning2,25110,3690,68,2,0,0.128125
0,10/22/2020,Thursday,morning,0morning1,24390,4410,81,1,0,0.153125
28800,10/22/2020,Thursday,afternoon,28800afternoon2,10870,17930,320,2,0,0.6225694444444444
28800,10/22/2020,Thursday,afternoon,28800afternoon1,12445,16360,296,1,5,0.5680319333564734
57600,10/22/2020,Thursday,evening,57600evening2,7411,21410,384,1,21,0.7430483322931836
57600,10/22/2020,Thursday,evening,57600evening1,7059,21780,396,2,39,0.7555578641180137
86400,10/23/2020,Friday,morning,86400morning1,16650,12150,219,1,0,0.421875
86400,10/23/2020,Friday,morning,86400morning2,16990,11810,215,2,0,0.41006944444444443
115200,10/23/2020,Friday,afternoon,115200afternoon1,222,28580,520,1,2,0.9922927371198444
115200,10/23/2020,Friday,afternoon,115200afternoon2,253,28580,524,2,33,0.9912353634033119
144000,10/23/2020,Friday,evening,144000evening1,3,28820,523,1,23,0.9998959994453304
144000,10/23/2020,Friday,evening,144000evening2,34,28790,527,2,24,0.9988214087631725
172800,10/24/2020,Saturday,morning,172800morning1,24,28830,527,1,54,0.9991697799916978
201600,10/24/2020,Saturday,afternoon,201600afternoon1,0,28820,510,2,20,1.0
230400,10/24/2020,Saturday,evening,230400evening1,0,28810,529,1,10,1.0
259200,10/25/2020,Sunday,morning,259200morning1,0,28830,524,2,30,1.0
259200,10/25/2020,Sunday,morning,259200morning2,11,28820,524,1,31,0.999618876030767
288000,10/25/2020,Sunday,afternoon,288000afternoon2,32,28770,518,1,2,0.9988890431884461
288000,10/25/2020,Sunday,afternoon,288000afternoon1,31,28790,524,2,21,0.9989251785590458
316800,10/25/2020,Sunday,evening,316800evening1,3,28810,520,1,13,0.9998959272878651
316800,10/25/2020,Sunday,evening,316800evening2,22,28820,525,2,42,0.9992383326409084
345600,10/26/2020,Monday,morning,345600morning1,14,28840,524,1,54,0.9995157049951571
374400,10/26/2020,Monday,afternoon,374400afternoon1,0,28820,526,2,20,1.0
403200,10/26/2020,Monday,evening,403200evening1,0,28840,523,1,40,1.0
432000,10/27/2020,Tuesday,morning,432000morning2,41,28760,525,1,1,0.9985764877439067
432000,10/27/2020,Tuesday,morning,432000morning1,0,28820,520,2,20,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon2,21,28810,520,2,31,0.9992723996951008
460800,10/27/2020,Tuesday,afternoon,460800afternoon1,2,28830,530,1,32,0.999930709534368
489600,10/27/2020,Tuesday,evening,489600evening1,32,28810,524,2,42,0.9988921202049578
489600,10/27/2020,Tuesday,evening,489600evening2,33,28820,524,1,53,0.9988583685048087
518400,10/28/2020,Wednesday,morning,518400morning2,54,28750,531,1,4,0.9981255206886975
518400,10/28/2020,Wednesday,morning,518400morning1,43,28800,522,2,43,0.9985113896004986
547200,10/28/2020,Wednesday,afternoon,547200afternoon1,5,28800,520,1,5,0.9998264491496008
547200,10/28/2020,Wednesday,afternoon,547200afternoon2,44,28790,522,2,34,0.9984758209782458
576000,10/28/2020,Wednesday,evening,576000evening2,35,28770,526,2,5,0.9987851440472059
576000,10/28/2020,Wednesday,evening,576000evening1,6,28870,528,1,76,0.9997927604310584
604800,10/29/2020,Thursday,morning,604800morning2,77,28750,533,1,27,0.997331392527899
604800,10/29/2020,Thursday,morning,604800morning1,6,28830,530,2,36,0.9997921862011637
633600,10/29/2020,Thursday,afternoon,633600afternoon2,37,28770,523,2,7,0.9987159019920872
633600,10/29/2020,Thursday,afternoon,633600afternoon1,28,28780,525,1,8,0.9990283176013326
662400,10/29/2020,Thursday,evening,662400evening1,8,28820,513,2,28,0.9997227612974772
