idx,weekday,shift,current_level_parking_tshirt,current_level_parking_hoodie,current_level_parking_spants,current_level_parking_sneaks,current_level_storage_tshirt,current_level_storage_hoodie,current_level_storage_spants,current_level_storage_sneaks,current_packing_stations_queue,total_orders_shipped,total_orders_cancelled,total_orders_discarded,total_gross_proft,total_delivery_expense,total_delivery_expense_returns,total_labor_expense,total_labor_expense_overtime,total_lost_sales_penalty,fixed_cost_facilities,fixed_cost_packing_stations
28800,Thursday,morning,0,0,0,0,9823,4916,4913,3276,1,153,0,0,3460,0,0,0,0,0,5000000,100000
57600,Thursday,afternoon,0,0,0,0,11076,5541,5534,3597,0,666,0,0,14562,10000,0,1620.0,1.0375,0,5000000,100000
86400,Friday,evening,0,0,0,0,10484,5216,5213,3442,0,1219,0,0,26478,10000,0,4320.0,10.61875,0,5000000,100000
115200,Friday,morning,0,0,0,0,9621,4801,4756,3200,0,1989,0,0,43580,10000,0,5940.0,19.61875,0,5000000,100000
144000,Friday,afternoon,0,0,0,0,10045,5037,4995,3344,196,2991,0,0,64576,20000,0,9180.0,23.31875,0,5000000,100000
172800,Saturday,evening,0,0,0,0,8638,4338,4217,3012,436,4018,0,0,87186,20000,0,14760.0,45.843750000000014,0,5000000,100000
201600,Saturday,morning,0,0,0,0,7108,3603,3471,2626,1246,4542,0,0,98480,20000,0,18000.0,62.850000000000016,0,5000000,100000
230400,Saturday,afternoon,0,0,0,0,7531,3834,3677,2734,1996,5070,0,0,109394,30000,0,21240.0,69.18125,0,5000000,100000
259200,Sunday,evening,0,0,0,0,5989,3128,2893,2364,2827,5584,0,0,120636,30000,0,27000.0,86.96875000000001,0,5000000,100000
288000,Sunday,morning,0,0,0,0,4747,2515,2248,2053,2882,6631,0,0,142526,30000,0,30240.0,105.21875000000001,0,5000000,100000
316800,Sunday,afternoon,0,0,0,0,5351,2836,2620,2160,2952,7675,0,0,164770,40000,0,33120.0,119.60000000000001,0,5000000,100000
345600,Monday,evening,0,0,0,0,4060,2205,2010,1878,3010,8725,0,0,186570,40000,0,37980.0,137.24375,0,5000000,100000
374400,Monday,morning,0,0,0,0,3442,1894,1694,1723,2535,9762,0,0,209116,40000,0,40860.0,150.65,0,5000000,100000
403200,Monday,afternoon,0,0,0,0,4665,2525,2314,2011,2041,10810,0,0,231428,50000,0,42480.0,157.69375000000002,0,5000000,100000
432000,Tuesday,evening,0,0,0,0,4022,2222,1999,1857,1559,11849,0,0,253154,50000,0,45180.0,168.12500000000003,0,5000000,100000
460800,Tuesday,morning,0,0,0,0,3565,2009,1787,1748,918,12896,0,0,275544,50000,0,46800.0,174.06875000000002,0,5000000,100000
