shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime
0,10/22/2020,Thursday,morning,0morning2,24930,3870,68,2,0
0,10/22/2020,Thursday,morning,0morning1,24095,4730,86,1,25
28800,10/22/2020,Thursday,afternoon,28800afternoon2,14295,14510,262,1,5
28800,10/22/2020,Thursday,afternoon,28800afternoon1,14739,14110,252,2,49
57600,10/22/2020,Thursday,evening,57600evening1,13720,15110,276,1,30
57600,10/22/2020,Thursday,evening,57600evening2,13470,15380,277,2,50
86400,10/23/2020,Friday,morning,86400morning1,7610,21190,380,1,0
86400,10/23/2020,Friday,morning,86400morning2,7103,21730,389,2,33
115200,10/23/2020,Friday,afternoon,115200afternoon1,1108,27740,497,1,48
115200,10/23/2020,Friday,afternoon,115200afternoon2,841,28030,506,2,71
144000,10/23/2020,Friday,evening,144000evening1,49,28770,504,1,19
144000,10/23/2020,Friday,evening,144000evening2,72,28760,523,2,32
172800,10/24/2020,Saturday,morning,172800morning1,20,28830,523,1,50
201600,10/24/2020,Saturday,afternoon,201600afternoon1,0,28800,528,2,0
230400,10/24/2020,Saturday,evening,230400evening1,0,28810,514,1,10
259200,10/25/2020,Sunday,morning,259200morning2,11,28800,525,1,11
259200,10/25/2020,Sunday,morning,259200morning1,0,28840,523,2,40
288000,10/25/2020,Sunday,afternoon,288000afternoon1,12,28800,517,1,12
288000,10/25/2020,Sunday,afternoon,288000afternoon2,41,28830,527,2,71
316800,10/25/2020,Sunday,evening,316800evening2,72,28730,526,2,2
316800,10/25/2020,Sunday,evening,316800evening1,13,28830,524,1,43
345600,10/26/2020,Monday,morning,345600morning1,3,28810,519,2,13
345600,10/26/2020,Monday,morning,345600morning2,44,28800,518,1,44
374400,10/26/2020,Monday,afternoon,374400afternoon2,45,28760,519,1,5
374400,10/26/2020,Monday,afternoon,374400afternoon1,14,28810,529,2,24
403200,10/26/2020,Monday,evening,403200evening2,25,28790,520,2,15
403200,10/26/2020,Monday,evening,403200evening1,6,28810,519,1,16
