shift_start,date,weekday,shift,name,idle_time,active_time,discarded_time,num_orders_fulfilled,num_orders_discarded,overtime
0,10/22/2020,Thursday,morning,0morning6,20010,8790,0,23,0,0
0,10/22/2020,Thursday,morning,0morning3,15210,13590,0,36,0,0
0,10/22/2020,Thursday,morning,0morning7,20360,8440,0,22,0,0
0,10/22/2020,Thursday,morning,0morning4,24030,4770,0,14,0,0
0,10/22/2020,Thursday,morning,0morning1,24250,4550,0,12,0,0
0,10/22/2020,Thursday,morning,0morning5,16590,12210,0,33,0,0
0,10/22/2020,Thursday,morning,0morning2,22941,6000,0,16,0,141
28800,10/22/2020,Thursday,afternoon,28800afternoon3,1541,27400,0,75,0,141
28800,10/22/2020,Thursday,afternoon,28800afternoon6,1904,27070,0,72,0,174
28800,10/22/2020,Thursday,afternoon,28800afternoon7,1789,27220,0,73,0,209
28800,10/22/2020,Thursday,afternoon,28800afternoon5,2505,26520,0,73,0,225
28800,10/22/2020,Thursday,afternoon,28800afternoon4,1386,27650,0,75,0,236
28800,10/22/2020,Thursday,afternoon,28800afternoon2,1925,27120,0,75,0,245
28800,10/22/2020,Thursday,afternoon,28800afternoon1,979,28070,0,76,0,249
57600,10/22/2020,Thursday,evening,57600evening2,0,28870,0,78,0,70
57600,10/22/2020,Thursday,evening,57600evening6,0,28900,0,79,0,100
57600,10/22/2020,Thursday,evening,57600evening5,0,28910,0,78,0,110
57600,10/22/2020,Thursday,evening,57600evening7,0,28940,0,80,0,140
57600,10/22/2020,Thursday,evening,57600evening4,0,28990,0,81,0,190
57600,10/22/2020,Thursday,evening,57600evening3,0,29140,0,77,0,340
57600,10/22/2020,Thursday,evening,57600evening1,0,29210,0,80,0,410
86400,10/23/2020,Friday,morning,86400morning10,12840,15960,0,42,0,0
86400,10/23/2020,Friday,morning,86400morning1,11550,17250,0,45,0,0
86400,10/23/2020,Friday,morning,86400morning8,11890,16910,0,48,0,0
86400,10/23/2020,Friday,morning,86400morning12,12490,16310,0,42,0,0
86400,10/23/2020,Friday,morning,86400morning7,7960,20840,0,59,0,0
86400,10/23/2020,Friday,morning,86400morning15,7770,21030,0,59,0,0
86400,10/23/2020,Friday,morning,86400morning6,11830,16970,0,48,0,0
86400,10/23/2020,Friday,morning,86400morning9,8660,20140,0,53,0,0
86400,10/23/2020,Friday,morning,86400morning11,12750,16050,0,44,0,0
86400,10/23/2020,Friday,morning,86400morning5,9720,19080,0,50,0,0
86400,10/23/2020,Friday,morning,86400morning13,13050,15750,0,44,0,0
86400,10/23/2020,Friday,morning,86400morning2,14430,14370,0,38,0,0
86400,10/23/2020,Friday,morning,86400morning3,6001,22820,0,60,0,21
86400,10/23/2020,Friday,morning,86400morning16,11640,17220,0,47,0,60
86400,10/23/2020,Friday,morning,86400morning14,13265,15650,0,40,0,115
86400,10/23/2020,Friday,morning,86400morning4,11743,17420,0,47,0,363
115200,10/23/2020,Friday,afternoon,115200afternoon2,746,28060,0,77,0,6
115200,10/23/2020,Friday,afternoon,115200afternoon1,236,28570,0,78,0,6
115200,10/23/2020,Friday,afternoon,115200afternoon6,931,27900,0,74,0,31
115200,10/23/2020,Friday,afternoon,115200afternoon3,725,28110,0,77,0,35
115200,10/23/2020,Friday,afternoon,115200afternoon14,2221,26630,0,74,0,51
115200,10/23/2020,Friday,afternoon,115200afternoon4,758,28190,0,75,0,148
115200,10/23/2020,Friday,afternoon,115200afternoon13,1212,27750,0,80,0,162
115200,10/23/2020,Friday,afternoon,115200afternoon5,579,28430,0,77,0,209
115200,10/23/2020,Friday,afternoon,115200afternoon16,3159,25870,0,73,0,229
115200,10/23/2020,Friday,afternoon,115200afternoon15,2651,26400,0,73,0,251
115200,10/23/2020,Friday,afternoon,115200afternoon9,1029,28110,0,77,0,339
115200,10/23/2020,Friday,afternoon,115200afternoon7,927,28250,0,76,0,377
115200,10/23/2020,Friday,afternoon,115200afternoon8,1351,27840,0,76,0,391
115200,10/23/2020,Friday,afternoon,115200afternoon12,1300,27900,0,74,0,400
115200,10/23/2020,Friday,afternoon,115200afternoon11,1914,27290,0,76,0,404
115200,10/23/2020,Friday,afternoon,115200afternoon10,1126,28120,0,74,0,446
144000,10/23/2020,Friday,evening,144000evening10,0,28800,0,77,0,0
144000,10/23/2020,Friday,evening,144000evening4,0,28820,0,81,0,20
144000,10/23/2020,Friday,evening,144000evening12,0,28870,0,79,0,70
144000,10/23/2020,Friday,evening,144000evening2,0,28880,0,76,0,80
144000,10/23/2020,Friday,evening,144000evening3,0,28880,0,80,0,80
144000,10/23/2020,Friday,evening,144000evening6,0,28890,0,79,0,90
144000,10/23/2020,Friday,evening,144000evening5,0,28890,0,77,0,90
144000,10/23/2020,Friday,evening,144000evening15,0,28900,0,78,0,100
144000,10/23/2020,Friday,evening,144000evening11,0,28940,0,77,0,140
144000,10/23/2020,Friday,evening,144000evening7,0,28970,0,79,0,170
144000,10/23/2020,Friday,evening,144000evening8,0,28970,0,83,0,170
144000,10/23/2020,Friday,evening,144000evening1,0,29050,0,80,0,250
144000,10/23/2020,Friday,evening,144000evening16,0,29070,0,78,0,270
144000,10/23/2020,Friday,evening,144000evening13,0,29170,0,80,0,370
144000,10/23/2020,Friday,evening,144000evening9,0,29180,0,81,0,380
144000,10/23/2020,Friday,evening,144000evening14,0,29190,0,82,0,390
172800,10/24/2020,Saturday,morning,172800morning4,110,28690,0,79,0,0
172800,10/24/2020,Saturday,morning,172800morning13,80,28720,0,83,0,0
172800,10/24/2020,Saturday,morning,172800morning3,100,28700,0,79,0,0
172800,10/24/2020,Saturday,morning,172800morning8,140,28660,0,81,0,0
172800,10/24/2020,Saturday,morning,172800morning2,200,28600,0,76,0,0
172800,10/24/2020,Saturday,morning,172800morning1,210,28590,0,78,0,0
172800,10/24/2020,Saturday,morning,172800morning14,320,28480,0,73,0,0
172800,10/24/2020,Saturday,morning,172800morning17,500,28300,0,77,0,0
172800,10/24/2020,Saturday,morning,172800morning15,540,28260,0,80,0,0
172800,10/24/2020,Saturday,morning,172800morning16,550,28250,0,76,0,0
