shift_start,date,weekday,shift,name,idle_time,active_time,num_trips,total_weight_stowed,overtime
28800,10/22/2020,Thursday,afternoon,28800afternoon4,4560,24240,48,696,0
28800,10/22/2020,Thursday,afternoon,28800afternoon6,4520,24280,48,700,0
28800,10/22/2020,Thursday,afternoon,28800afternoon3,4480,24320,48,704,0
28800,10/22/2020,Thursday,afternoon,28800afternoon5,4360,24440,49,680,0
28800,10/22/2020,Thursday,afternoon,28800afternoon2,4330,24470,49,683,0
28800,10/22/2020,Thursday,afternoon,28800afternoon1,4290,24510,49,687,0
115200,10/23/2020,Friday,afternoon,115200afternoon9,17760,11040,22,312,0
115200,10/23/2020,Friday,afternoon,115200afternoon5,17760,11040,21,348,0
115200,10/23/2020,Friday,afternoon,115200afternoon11,17640,11160,23,288,0
115200,10/23/2020,Friday,afternoon,115200afternoon3,17640,11160,22,324,0
115200,10/23/2020,Friday,afternoon,115200afternoon12,17600,11200,21,364,0
115200,10/23/2020,Friday,afternoon,115200afternoon6,17600,11200,23,292,0
115200,10/23/2020,Friday,afternoon,115200afternoon2,17520,11280,23,300,0
115200,10/23/2020,Friday,afternoon,115200afternoon4,17480,11320,23,304,0
115200,10/23/2020,Friday,afternoon,115200afternoon8,17480,11320,23,304,0
115200,10/23/2020,Friday,afternoon,115200afternoon7,17450,11350,22,343,0
115200,10/23/2020,Friday,afternoon,115200afternoon10,17440,11360,23,308,0
115200,10/23/2020,Friday,afternoon,115200afternoon13,17400,11400,23,312,0
115200,10/23/2020,Friday,afternoon,115200afternoon1,17370,11430,22,351,0
201600,10/24/2020,Saturday,afternoon,201600afternoon12,18560,10240,20,304,0
201600,10/24/2020,Saturday,afternoon,201600afternoon3,18520,10280,21,272,0
201600,10/24/2020,Saturday,afternoon,201600afternoon14,18520,10280,21,272,0
201600,10/24/2020,Saturday,afternoon,201600afternoon8,18480,10320,20,312,0
201600,10/24/2020,Saturday,afternoon,201600afternoon13,18400,10400,20,320,0
201600,10/24/2020,Saturday,afternoon,201600afternoon7,18360,10440,21,288,0
201600,10/24/2020,Saturday,afternoon,201600afternoon10,18360,10440,21,288,0
201600,10/24/2020,Saturday,afternoon,201600afternoon6,18320,10480,21,292,0
201600,10/24/2020,Saturday,afternoon,201600afternoon2,18320,10480,21,292,0
201600,10/24/2020,Saturday,afternoon,201600afternoon4,18280,10520,21,296,0
201600,10/24/2020,Saturday,afternoon,201600afternoon11,18240,10560,21,300,0
201600,10/24/2020,Saturday,afternoon,201600afternoon9,18210,10590,21,303,0
201600,10/24/2020,Saturday,afternoon,201600afternoon5,18200,10600,21,304,0
201600,10/24/2020,Saturday,afternoon,201600afternoon1,18170,10630,21,307,0
288000,10/25/2020,Sunday,afternoon,288000afternoon1,15680,13120,25,412,0
288000,10/25/2020,Sunday,afternoon,288000afternoon9,15680,13120,26,376,0
288000,10/25/2020,Sunday,afternoon,288000afternoon10,15600,13200,26,384,0
288000,10/25/2020,Sunday,afternoon,288000afternoon3,15600,13200,26,384,0
288000,10/25/2020,Sunday,afternoon,288000afternoon8,15480,13320,27,360,0
288000,10/25/2020,Sunday,afternoon,288000afternoon2,15480,13320,27,360,0
288000,10/25/2020,Sunday,afternoon,288000afternoon7,15440,13360,27,364,0
288000,10/25/2020,Sunday,afternoon,288000afternoon11,15410,13390,27,367,0
288000,10/25/2020,Sunday,afternoon,288000afternoon4,15400,13400,26,404,0
288000,10/25/2020,Sunday,afternoon,288000afternoon5,15400,13400,27,368,0
288000,10/25/2020,Sunday,afternoon,288000afternoon6,15370,13430,27,371,0
374400,10/26/2020,Monday,afternoon,374400afternoon4,4560,24240,48,696,0
374400,10/26/2020,Monday,afternoon,374400afternoon6,4520,24280,48,700,0
374400,10/26/2020,Monday,afternoon,374400afternoon3,4480,24320,48,704,0
374400,10/26/2020,Monday,afternoon,374400afternoon5,4360,24440,49,680,0
374400,10/26/2020,Monday,afternoon,374400afternoon2,4330,24470,49,683,0
374400,10/26/2020,Monday,afternoon,374400afternoon1,4290,24510,49,687,0
460800,10/27/2020,Tuesday,afternoon,460800afternoon3,3600,25200,50,720,0
